P 148, 500, 0,  0, 0, 0,  2,  Map_by_Goodurden
L -414.6418, 134.3558, 0.1062,  -402.3542, 134.3558, 0.1062,  0, 0, 0
L -408.8558, 135.8558, 0.1062,  -408.8551, 121.1441, 0.1062,  127, 127, 0
L -414.6392, 122.6443, 0.1062,  -404.2229, 122.6440, 0.1062,  0, 0, 0
L -402.3542, 134.3558, 0.1062,  -402.3558, 151.8189, 0.1062,  0, 0, 0
L -402.3558, 151.8189, 0.1062,  -355.6441, 151.8680, 0.1062,  0, 0, 0
L -355.6441, 137.1441, 0.1062,  -371.6472, 137.1443, 0.1062,  0, 0, 0
L -355.6442, 137.1433, 0.1062,  -355.6441, 151.8680, 0.1062,  0, 0, 0
L -371.6472, 137.1443, 0.1062,  -371.6434, 119.8608, 0.1062,  0, 0, 0
L -371.6434, 119.8608, 0.1062,  -354.6437, 119.8345, 0.1062,  0, 0, 0
L -354.6437, 119.8345, 0.1062,  -354.6479, 118.3562, 0.1062,  0, 0, 0
L -354.6479, 118.3562, 0.1062,  -349.8539, 118.3545, 0.1062,  0, 0, 0
L -349.8539, 118.3545, 0.1062,  -349.8557, 119.8561, 0.1062,  0, 0, 0
L -349.8557, 119.8561, 0.1062,  -347.8570, 119.8509, 0.1062,  0, 0, 0
L -347.8570, 119.8509, 0.1071,  -347.8475, 135.8562, 0.1062,  0, 0, 0
L -347.8475, 135.8562, 0.1062,  -299.1860, 135.8553, 0.1062,  0, 0, 0
L -299.1860, 135.8553, 0.1062,  -299.1057, 134.3568, 0.1062,  0, 0, 0
L -299.1057, 134.3568, 0.1062,  -294.3548, 134.3537, 0.1062,  0, 0, 0
L -294.3548, 134.3537, 0.1062,  -294.3558, 135.8559, 0.1062,  0, 0, 0
L -294.3558, 135.8559, 0.1062,  -277.3554, 135.8530, 0.1062,  0, 0, 0
L -277.3554, 135.8530, 0.1062,  -277.3531, 168.7621, 0.1062,  0, 0, 0
L -277.3531, 168.7621, 0.1062,  -293.3553, 184.7798, 0.1062,  0, 0, 0
L -293.3553, 184.7798, 0.1062,  -293.3552, 215.8559, 0.1062,  0, 0, 0
L -293.3552, 215.8559, 0.1062,  -277.3506, 215.8522, 0.1062,  0, 0, 0
L -277.3506, 215.8522, 0.1062,  -277.3558, 216.8559, 0.1062,  0, 0, 0
L -277.3558, 216.8559, 0.1062,  -275.8535, 216.8537, 0.1062,  0, 0, 0
L -275.8554, 221.6465, 0.1062,  -275.8535, 216.8537, 0.1062,  0, 0, 0
L -275.8554, 221.6465, 0.1062,  -277.3558, 221.6441, 0.1062,  0, 0, 0
L -277.3558, 221.6441, 0.1062,  -277.3560, 285.3546, 1.9207,  0, 0, 0
L -277.3560, 285.3546, 1.9207,  -229.6679, 285.3559, 0.1062,  0, 0, 0
L -229.6679, 285.3559, 0.1062,  -229.5910, 283.8567, 0.1062,  0, 0, 0
L -229.5910, 283.8567, 0.1062,  -224.8581, 283.8523, 0.1062,  0, 0, 0
L -224.8581, 283.8523, 0.1062,  -224.8552, 285.3559, 0.1062,  0, 0, 0
L -224.8552, 285.3559, 0.1062,  -223.8619, 285.3494, 0.1062,  0, 0, 0
L -223.8619, 285.3494, 0.1062,  -223.8385, 293.3555, 0.1062,  0, 0, 0
L -223.8385, 293.3555, 0.1062,  -161.1445, 293.3062, -16.3938,  0, 0, 0
L -161.1445, 293.3062, -16.3938,  -161.1428, 283.8543, -16.3938,  0, 0, 0
L -161.1428, 283.8543, -16.3938,  -148.8517, 283.8562, -16.3942,  0, 0, 0
L -148.8517, 283.8562, -16.3938,  -148.8554, 293.3557, -16.3938,  0, 0, 0
L -148.8554, 293.3557, -16.3938,  -86.1445, 293.2773, 0.1062,  0, 0, 0
L -86.1445, 293.2773, 0.1062,  -86.1458, 285.3550, 0.1062,  0, 0, 0
L -86.1458, 285.3550, 0.1062,  -85.2280, 285.3550, 0.1062,  0, 0, 0
L -85.1441, 285.3560, 0.1062,  -85.1474, 283.8559, 0.1062,  0, 0, 0
L -85.1474, 283.8559, 0.1062,  -80.3528, 283.8537, 0.1062,  0, 0, 0
L -80.3528, 283.8537, 0.1062,  -80.3554, 285.3558, 0.1062,  0, 0, 0
L -80.3554, 285.3558, 0.1062,  -16.6440, 285.3339, 0.1062,  0, 0, 0
L -16.6440, 285.3339, 0.1062,  -16.6443, 237.6523, 0.1062,  0, 0, 0
L -16.6443, 237.6523, 0.1062,  -18.1440, 237.6386, 0.1062,  0, 0, 0
L -18.1440, 237.6386, 0.1062,  -18.1457, 231.8542, 0.1062,  0, 0, 0
L -18.1457, 231.8542, 0.1062,  -0.6442, 231.8553, 0.1062,  0, 0, 0
L -0.6442, 231.8553, 0.1062,  -0.6446, 137.1440, 0.1062,  0, 0, 0
L -0.6446, 137.1440, 0.1062,  -15.3126, 137.1436, 0.1062,  0, 0, 0
L -15.3126, 137.1436, 0.1062,  -15.3621, 153.1435, 0.1062,  0, 0, 0
L -15.3621, 153.1435, 0.1062,  -32.6162, 153.1477, 0.1062,  0, 0, 0
L -32.6162, 153.1477, 0.1062,  -32.7502, 137.1451, 0.1062,  0, 0, 0
L -32.7502, 137.1451, 0.1062,  -48.6461, 137.1429, 0.1062,  0, 0, 0
L -48.6461, 137.1429, 0.1062,  -48.6462, 105.1442, 0.1062,  0, 0, 0
L -48.6462, 105.1442, 0.1062,  -64.6505, 105.1436, 0.1062,  0, 0, 0
L -64.6448, 104.1441, 0.1062,  -66.1447, 104.1487, 0.1062,  0, 0, 0
L -64.6449, 104.2329, 0.1062,  -64.6505, 105.1436, 0.1062,  0, 0, 0
L -66.1447, 104.1487, 0.1062,  -66.1447, 92.8554, 0.1062,  0, 0, 0
L -77.8568, 104.1479, 0.1062,  -77.8554, 95.5955, 0.1062,  0, 0, 0
L -79.3558, 98.6441, 0.1062,  -64.6445, 98.6441, 0.1062,  127, 127, 0
L -66.1447, 92.8554, 0.1062,  -48.6442, 92.8521, 0.1062,  0, 0, 0
L -48.6442, 92.8521, 0.1062,  -48.6436, 45.1442, 0.1062,  0, 0, 0
L -48.6436, 45.1442, 0.1062,  -50.1452, 45.1481, 0.1062,  0, 0, 0
L -50.1452, 45.1481, 0.1062,  -50.1442, 40.3526, 0.1062,  0, 0, 0
L -50.1442, 40.3526, 0.1062,  -48.6442, 40.3553, 0.1062,  0, 0, 0
L -48.6442, 40.3553, 0.1062,  -48.6484, 23.3555, 0.1062,  0, 0, 0
L -48.6484, 23.3555, 0.1062,  -32.6442, 23.3555, 0.1062,  0, 0, 0
L -32.6442, 23.3555, 0.1062,  -32.6471, 7.3542, 0.1062,  0, 0, 0
L -32.6471, 7.3542, 0.1062,  0.3545, 7.3560, 0.1062,  0, 0, 0
L 0.3545, 7.3560, 0.1062,  0.3536, 5.8528, 0.1062,  0, 0, 0
L 6.1354, 5.8561, 0.1062,  0.3536, 5.8528, 0.1062,  0, 0, 0
L 6.1354, 5.8561, 0.1062,  6.1961, 23.3557, 0.1062,  0, 0, 0
L 6.1961, 23.3557, 0.1062,  21.7660, 23.3570, 0.1062,  0, 0, 0
L 21.7660, 23.3570, 0.1062,  54.1416, 55.7263, 0.1062,  0, 0, 0
L 54.1416, 55.7263, 0.1062,  54.1912, 71.6249, 0.1062,  0, 0, 0
L 54.1912, 71.6249, 0.1062,  85.5830, 87.3223, 0.1062,  0, 0, 0
L 85.5830, 87.3223, 0.1062,  101.2982, 87.3568, 0.1062,  0, 0, 0
L 101.2982, 87.3568, 0.1062,  132.8557, 71.5488, 0.1062,  0, 0, 0
L 132.8557, 71.5488, 0.1062,  132.8522, 55.7361, 0.1062,  0, 0, 0
L 132.8522, 55.7361, 0.1062,  165.2323, 23.3527, 0.1062,  0, 0, 0
L 180.8549, 23.3559, 0.1062,  180.8541, 5.8554, 0.1062,  0, 0, 0
L 180.8541, 5.8554, 0.1062,  193.1460, 5.8569, 0.1062,  0, 0, 0
L 193.1460, 5.8569, 0.1062,  193.1452, 23.3558, 0.1062,  0, 0, 0
L 193.1452, 23.3558, 0.1062,  224.2896, 23.2994, 0.1062,  0, 0, 0
L 224.2896, 23.2994, 0.1062,  240.2332, 7.3551, 0.1062,  0, 0, 0
L 240.2332, 7.3551, 0.1062,  273.1454, 7.3518, 0.1062,  0, 0, 0
L 273.1454, 7.3518, 0.1062,  273.1439, 24.3560, 0.1062,  0, 0, 0
L 273.1439, 24.3560, 0.1062,  274.6468, 24.3611, 0.1062,  0, 0, 0
L 274.6468, 24.3611, 0.1062,  274.6416, 35.6476, 0.1062,  0, 0, 0
L 265.1448, 35.6442, 0.1062,  265.1441, 98.3551, -16.3938,  0, 0, 0
L 265.1441, 98.3551, -16.3938,  274.6445, 98.3518, -16.3938,  0, 0, 0
L 274.6445, 98.3518, -16.3938,  274.6437, 110.6455, -16.3938,  0, 0, 0
L 274.6437, 110.6455, -16.3938,  265.1571, 110.6437, -16.3938,  0, 0, 0
L 265.1571, 110.6437, -16.3938,  265.1442, 173.3552, 0.1062,  0, 0, 0
L 265.1442, 173.3552, 0.1062,  274.6475, 173.3527, 0.1062,  0, 0, 0
L 274.6451, 179.1416, 0.1062,  274.6475, 173.3527, 0.1062,  0, 0, 0
L 274.6451, 179.1416, 0.1062,  273.1465, 179.1442, 0.1062,  0, 0, 0
L 273.1465, 179.1442, 0.1062,  273.1443, 212.1434, 0.1062,  0, 0, 0
L 273.1443, 212.1434, 0.1062,  224.1445, 212.1442, 0.1062,  0, 0, 0
L 224.1445, 212.1442, 0.1062,  224.1447, 213.6469, 0.1062,  0, 0, 0
L 218.3525, 213.6426, 0.1062,  224.1447, 213.6469, 0.1062,  0, 0, 0
L 217.8072, 196.1472, 0.1062,  187.3089, 196.1443, 0.1062,  0, 0, 0
L 187.3089, 196.1443, 0.1062,  171.2648, 212.1471, 0.1062,  0, 0, 0
L 171.2648, 212.1471, 0.1062,  138.3550, 212.1449, 0.1062,  0, 0, 0
L 138.3550, 212.1449, 0.1062,  138.3550, 195.2095, 0.1062,  0, 0, 0
L 136.8567, 195.1445, 0.1062,  138.3559, 195.1449, 0.1062,  0, 0, 0
L 136.8567, 195.1445, 0.1062,  136.8562, 183.8547, 0.1062,  0, 0, 0
L 136.8562, 183.8547, 0.1062,  154.3557, 183.8554, 0.1062,  0, 0, 0
L 154.3557, 183.8554, 0.1062,  154.3559, 137.1447, 0.1062,  0, 0, 0
L 154.3559, 137.1447, 0.1062,  139.6442, 137.1445, 0.1062,  0, 0, 0
L 139.6442, 137.1445, 0.1062,  139.6448, 153.1437, 0.1062,  0, 0, 0
L 139.6448, 153.1437, 0.1719,  122.3504, 153.1475, 0.1062,  0, 0, 0
L 122.3504, 153.1475, 0.1062,  122.3553, 137.1442, 0.1062,  0, 0, 0
L 122.3553, 137.1442, 0.1062,  107.6440, 137.1447, 0.1062,  0, 0, 0
L 107.6440, 137.1447, 0.1062,  107.6649, 168.2538, 0.1062,  0, 0, 0
L 107.6649, 168.2538, 0.1062,  125.1443, 185.7309, 0.1062,  0, 0, 0
L 125.1443, 185.7309, 0.1062,  125.1445, 195.1454, 0.1062,  0, 0, 0
L 125.1445, 195.1454, 0.1062,  123.6437, 195.1448, 0.1062,  0, 0, 0
L 123.6437, 195.1448, 0.1062,  123.6483, 212.1468, 0.1062,  0, 0, 0
L 123.6483, 212.1468, 0.1062,  90.9622, 212.1432, 0.1062,  0, 0, 0
L 90.9622, 212.1432, 0.1062,  74.3034, 196.1463, 0.1062,  0, 0, 0
L 74.3034, 196.1463, 0.1062,  43.6441, 196.1447, 0.1062,  0, 0, 0
L 43.6441, 196.1447, 0.1062,  43.6441, 242.8556, 0.1062,  0, 0, 0
L 43.6441, 242.8556, 0.1062,  59.2631, 242.8512, 0.1062,  0, 0, 0
L 59.2631, 242.8512, 0.1062,  91.6947, 275.2774, 0.1062,  0, 0, 0
L 91.6947, 275.2774, 0.1062,  91.6443, 291.0348, 0.1062,  0, 0, 0
L 91.6443, 291.0348, 0.1062,  125.1459, 307.8564, 0.1062,  0, 0, 0
L 125.1439, 314.6426, 0.1062,  125.1459, 307.8564, 0.1062,  0, 0, 0
L 125.1439, 314.6426, 0.1062,  115.6430, 314.6443, 0.1062,  0, 0, 0
L 115.6430, 314.6443, 0.1062,  115.6700, 377.6717, 0.1062,  0, 0, 0
L 115.6700, 377.6717, 0.1062,  -11.3554, 377.6938, 0.1062,  0, 0, 0
L -11.3554, 377.6938, 0.1062,  -11.3558, 408.3553, 0.1062,  0, 0, 0
L -11.3558, 408.3553, 0.1062,  51.6462, 408.3446, 0.1062,  0, 0, 0
L 51.6462, 408.3446, 0.1062,  51.6591, 440.3557, 0.1062,  0, 0, 0
L 51.6591, 440.3557, 0.1062,  82.3562, 440.3560, 0.1062,  0, 0, 0
L 82.3562, 440.3560, 0.1062,  82.3552, 408.3214, 0.1062,  0, 0, 0
L 82.3552, 408.3214, 0.1062,  146.3564, 408.3564, 0.1062,  0, 0, 0
L 146.3564, 408.3564, 0.1062,  146.3555, 314.6439, 0.1062,  0, 0, 0
L 146.3555, 314.6439, 0.1062,  136.8577, 314.6450, 0.1062,  0, 0, 0
L 136.8577, 314.6450, 0.1062,  136.8524, 307.8529, 0.1062,  0, 0, 0
L 136.8524, 307.8529, 0.1062,  170.3205, 291.1197, 0.1062,  0, 0, 0
L 170.3205, 291.1197, 0.1062,  170.3591, 275.2250, 0.1062,  0, 0, 0
L 170.3591, 275.2250, 0.1062,  202.7298, 242.8530, 0.1062,  0, 0, 0
L 202.7298, 242.8530, 0.1062,  218.3533, 242.8557, 0.1062,  0, 0, 0
L 218.3454, 242.8559, 0.1062,  218.3591, 225.3598, 0.1062,  0, 0, 0
L 218.3591, 225.3598, 0.1062,  224.1435, 225.3531, 0.1062,  0, 0, 0
L 218.3547, 196.1440, 0.1062,  218.3525, 213.6426, 0.1062,  0, 0, 0
L 224.1435, 225.3531, 0.1062,  224.1448, 226.8558, 0.1062,  0, 0, 0
L 224.1448, 226.8558, 0.1062,  287.8557, 226.8552, 0.1062,  0, 0, 0
L 287.8557, 226.8552, 0.1062,  287.8557, 179.1447, 0.1062,  0, 0, 0
L 287.8557, 179.1447, 0.1062,  286.3522, 179.1472, 0.1062,  0, 0, 0
L 286.3522, 179.1472, 0.1062,  286.3578, 173.4253, 0.1062,  0, 0, 0
L 286.3578, 173.4253, 0.1062,  295.8558, 173.3550, 0.1062,  0, 0, 0
L 295.8558, 173.3550, 0.1062,  295.8558, 110.6465, -16.3938,  0, 0, 0
L 295.8558, 110.6465, -16.3938,  286.3528, 110.6463, -16.3938,  0, 0, 0
L 286.3528, 110.6463, -16.3938,  286.3549, 98.3745, -16.3938,  0, 0, 0
L 286.3549, 98.3745, -16.3938,  295.8554, 98.3208, -16.3938,  0, 0, 0
L 295.8554, 98.3208, -16.3938,  295.8558, 35.6442, 0.1062,  0, 0, 0
L 295.8558, 35.6442, 0.1062,  286.3556, 35.6480, 0.1062,  0, 0, 0
L 286.3556, 35.6480, 0.1062,  286.3556, 24.3487, 0.1062,  0, 0, 0
L 273.1464, 29.8559, 0.1062,  287.8557, 29.8564, 0.1062,  127, 127, 0
L 274.6416, 35.6476, 0.1062,  265.1447, 35.6440, 0.1062,  0, 0, 0
L 287.8556, 24.3558, 0.1062,  286.3556, 24.3487, 0.1062,  0, 0, 0
L 287.8556, 24.3564, 0.1062,  287.8536, 7.3562, 0.1062,  0, 0, 0
L 287.8536, 7.3562, 0.1062,  320.7596, 7.3522, 0.1062,  0, 0, 0
L 320.7596, 7.3522, 0.1062,  336.7771, 23.3551, 0.1062,  0, 0, 0
L 380.1440, 23.3333, 0.1062,  458.8559, 23.2937, 0.1062,  0, 0, 0
L 367.8557, 23.3395, 0.1062,  367.8537, 5.8550, 0.1062,  0, 0, 0
L 367.8537, 5.8550, 0.1062,  380.1471, 5.8574, 0.1062,  0, 0, 0
L 380.1471, 5.8574, 0.1062,  380.1440, 23.3333, 0.1062,  0, 0, 0
L 458.8559, 23.2937, 0.1062,  458.8513, 7.3570, 0.1062,  0, 0, 0
L 458.8513, 7.3570, 0.1062,  474.8558, 7.3481, 0.1062,  0, 0, 0
L 474.8558, 7.3481, 0.1062,  474.8520, -24.6073, 0.1062,  0, 0, 0
L 506.8550, -24.6441, 0.1062,  506.8514, -42.1445, 0.1062,  0, 0, 0
L 506.8514, -42.1445, 0.1062,  519.1464, -42.1441, 0.1062,  0, 0, 0
L 519.1464, -42.1441, 0.1062,  519.1456, -24.6440, 0.1062,  0, 0, 0
L 519.1456, -24.6440, 0.1062,  565.8557, -24.6451, 0.1062,  0, 0, 0
L 565.8558, -39.3558, 0.1062,  565.8557, -24.6450, 0.1062,  0, 0, 0
L 565.8311, -39.3564, 0.1062,  549.8443, -39.3527, 0.1062,  0, 0, 0
L 549.8443, -39.3527, 0.1062,  549.8550, -56.6521, 0.1062,  0, 0, 0
L 549.8550, -56.6521, 0.1062,  566.8439, -56.6442, 0.1062,  0, 0, 0
L 566.8439, -56.6442, 0.1062,  566.8735, -58.1446, 0.1062,  0, 0, 0
L 566.8735, -58.1446, 0.1062,  578.1411, -58.1442, 0.1062,  0, 0, 0
L 578.1458, -40.6440, 0.1062,  578.1411, -58.1442, 0.1062,  0, 0, 0
L 578.1442, -40.6449, 0.1062,  672.8594, -40.6459, 0.1062,  0, 0, 0
L 672.8594, -40.6459, 0.1072,  672.8470, -55.3580, 0.1062,  0, 0, 0
L 672.8470, -55.3580, 0.1080,  656.8451, -55.3542, 0.1062,  0, 0, 0
L 656.8451, -55.3542, 0.1062,  656.8544, -72.5292, 0.1062,  0, 0, 0
L 656.8544, -72.5292, 0.1062,  672.8553, -72.6766, 0.1062,  0, 0, 0
L 672.8553, -72.6766, 0.1062,  672.8476, -88.6464, 0.1062,  0, 0, 0
L 672.8476, -88.6464, 0.1062,  704.8553, -88.6442, 0.1062,  0, 0, 0
L 704.8553, -88.6442, 0.1062,  704.8536, -104.6459, 0.1062,  0, 0, 0
L 704.8536, -104.6459, 0.1062,  705.8558, -104.6446, 0.1062,  0, 0, 0
L 705.8558, -104.6446, 0.1062,  705.8532, -106.1445, 0.1062,  0, 0, 0
L 704.8552, -119.3529, 0.1062,  705.8392, -119.3558, 0.1062,  0, 0, 0
L 705.8527, -117.8600, 0.1062,  710.6349, -117.8510, 0.1062,  0, 0, 0
L 705.8532, -106.1445, 0.1062,  713.6500, -106.1453, 0.1062,  0, 0, 0
L 713.6500, -106.1453, 0.1062,  713.6441, -103.6442, 0.1062,  0, 0, 0
L 760.3537, -103.6441, 0.1062,  760.3568, -145.4889, -7.3938,  0, 0, 0
L 760.3568, -145.4889, -7.8938,  784.0874, -152.4039, -7.8938,  0, 0, 0
L 784.0874, -152.4039, -7.8938,  807.4395, -175.3859, -7.8938,  0, 0, 0
L 807.4395, -175.3859, -7.8938,  816.3174, -207.0472, -7.8938,  0, 0, 0
L 816.3174, -207.0472, -7.8938,  807.4424, -238.6025, -7.8938,  0, 0, 0
L 807.4424, -238.6025, -7.8938,  784.7119, -261.3766, -7.8938,  0, 0, 0
L 784.7119, -261.3766, -7.8938,  752.9551, -270.3188, -7.8938,  0, 0, 0
L 752.9551, -270.3188, -7.8938,  721.3163, -261.4056, -7.8938,  0, 0, 0
L 721.3163, -261.4056, -7.8938,  698.5706, -238.6480, -7.8938,  0, 0, 0
L 698.5706, -238.6480, -7.8938,  689.6801, -207.0370, -7.8938,  0, 0, 0
L 689.6801, -207.0370, -7.8938,  698.5702, -175.3537, -7.8938,  0, 0, 0
L 698.5702, -175.3537, -7.8938,  721.3134, -152.5974, -7.8938,  0, 0, 0
L 721.3134, -152.5974, -7.8938,  745.6447, -145.4868, -7.8938,  0, 0, 0
L 745.6447, -145.4868, -7.8938,  745.6452, -120.3529, -0.8938,  0, 0, 0
L 745.6452, -120.3529, 0.1062,  710.6626, -120.3558, 0.1062,  0, 0, 0
L 710.6626, -120.3558, 0.1062,  710.6349, -117.8510, 0.1062,  0, 0, 0
L 705.8552, -119.2675, 0.1062,  705.8527, -117.8600, 0.1062,  0, 0, 0
L 704.8557, -135.3531, 0.1062,  626.1439, -135.3558, 0.1062,  0, 0, 0
L 626.1438, -119.3616, 0.1062,  626.1442, -135.3541, 0.1062,  0, 0, 0
L 626.1438, -119.3616, 0.1062,  610.1439, -119.3249, 0.1062,  0, 0, 0
L 610.1439, -119.3249, 0.1062,  610.1459, -87.3541, 0.1062,  0, 0, 0
L 610.1459, -87.3541, 0.1062,  578.1442, -87.3554, 0.1062,  0, 0, 0
L 578.1442, -87.3554, 0.1062,  578.1444, -69.8551, 0.1062,  0, 0, 0
L 713.6442, -103.6442, 0.1062,  760.3537, -103.6441, 0.1062,  0, 0, 0
L 752.9981, -173.3289, -7.8938,  736.6627, -177.9243, -7.8938,  127, 127, 127
L 736.6627, -177.9243, -7.8938,  723.9100, -190.6780, -7.8938,  127, 127, 127
L 723.9100, -190.6780, -7.8938,  719.3299, -206.9992, -7.8938,  127, 127, 127
L 719.3299, -206.9992, -7.8938,  723.9086, -223.3236, -7.8938,  127, 127, 127
L 723.9086, -223.3236, -7.8938,  736.6750, -236.0871, -7.8938,  127, 127, 127
L 736.6750, -236.0871, -7.8938,  753.0109, -240.6739, -7.8938,  127, 127, 127
L 753.0109, -240.6739, -7.8938,  769.3350, -236.0760, -7.8938,  127, 127, 127
L 769.3350, -236.0760, -7.8938,  782.0732, -223.3366, -7.8938,  127, 127, 127
L 782.0732, -223.3366, -7.8938,  786.6729, -207.0150, -7.8938,  127, 127, 127
L 786.6729, -207.0150, -7.8938,  782.0762, -190.6656, -7.8938,  127, 127, 127
L 782.0762, -190.6656, -7.8938,  769.3380, -177.9259, -7.8938,  127, 127, 127
L 769.3380, -177.9259, -7.8938,  752.9981, -173.3289, -7.8938,  127, 127, 127
L 762.0975, -203.9023, -6.3938,  743.9023, -203.8999, -6.3938,  64, 64, 64
L 743.8976, -214.0954, -6.3938,  743.9023, -203.8999, -6.3938,  64, 64, 64
L 743.8976, -214.0954, -6.3938,  762.0961, -214.1005, -6.3938,  64, 64, 64
L 762.0961, -214.1005, -6.3938,  762.0975, -203.9023, -6.3938,  64, 64, 64
L 571.6436, -71.3439, 0.1062,  571.6440, -56.6461, 0.1062,  127, 127, 0
L 566.8528, -69.8562, 0.1062,  566.8550, -71.3560, 0.1062,  0, 0, 0
L 566.8528, -69.8562, 0.1062,  578.1444, -69.8551, 0.1062,  0, 0, 0
L 566.8557, -71.3281, 0.1062,  519.1647, -71.3562, 0.1062,  0, 0, 0
L 519.1647, -71.3562, 0.1062,  519.1414, -53.8545, 0.1062,  0, 0, 0
L 519.1414, -53.8545, 0.1062,  506.8523, -53.8559, 0.1062,  0, 0, 0
L 506.8523, -53.8559, 0.1062,  506.8558, -71.3558, 0.1062,  0, 0, 0
L 506.8558, -71.3558, 0.1062,  444.1947, -71.3553, 0.1062,  0, 0, 0
L 444.1947, -71.3553, 0.1062,  444.1409, -55.3511, 0.1062,  0, 0, 0
L 444.1409, -55.3511, 0.1062,  428.1799, -55.3557, 0.1062,  0, 0, 0
L 428.1799, -55.3557, 0.1062,  428.1394, -39.3571, 0.1062,  0, 0, 0
L 474.8520, -24.6073, 0.1062,  506.5123, -24.9234, 0.1062,  0, 0, 0
L 412.1457, -38.8854, 0.1062,  412.1465, -23.3672, 0.1062,  0, 0, 0
L 380.1524, -23.3322, 0.1062,  380.1463, -5.8539, 0.1062,  0, 0, 0
L 380.1524, -23.3322, 0.1062,  412.1465, -23.3672, 0.1062,  0, 0, 0
L 373.6894, -7.3560, 0.1062,  373.6442, 7.3554, 0.1062,  127, 127, 0
L 380.1463, -5.8539, 0.1062,  367.8581, -5.8563, 0.1062,  0, 0, 0
L 367.8581, -5.8563, 0.1062,  367.8349, -23.3557, 0.1062,  0, 0, 0
L 367.8349, -23.3557, 0.1062,  352.2275, -23.3535, 0.1062,  0, 0, 0
L 352.2275, -23.3535, 0.1062,  319.8844, -55.7000, 0.1062,  0, 0, 0
L 319.8844, -55.7000, 0.1062,  319.7231, -71.6678, 0.1062,  0, 0, 0
L 319.7231, -71.6678, 0.1062,  288.3300, -87.3554, 0.1062,  0, 0, 0
L 288.3300, -87.3554, 0.1062,  272.6967, -87.3559, 0.1062,  0, 0, 0
L 272.6967, -87.3559, 0.1062,  241.1443, -71.5788, 0.1062,  0, 0, 0
L 241.1443, -71.5788, 0.1062,  241.1441, -55.7319, 0.1062,  0, 0, 0
L 241.1441, -55.7319, 0.1062,  208.7801, -23.3648, 0.1062,  0, 0, 0
L 208.7801, -23.3648, 0.1062,  193.1442, -23.3265, 0.1062,  0, 0, 0
L 193.1442, -23.3265, 0.1062,  193.1458, -5.8555, 0.1062,  0, 0, 0
L 336.8155, 23.3556, 0.1062,  367.8557, 23.3554, 0.1062,  0, 0, 0
L 193.1458, -5.8555, 0.1062,  180.8583, -5.8555, 0.1062,  0, 0, 0
L 187.3559, -7.3552, 0.1062,  187.3362, 7.3566, 0.1062,  127, 127, 0
L 180.8583, -5.8555, 0.1062,  180.8317, -23.3559, 0.1062,  0, 0, 0
L 180.8317, -23.3559, 0.1062,  149.8281, -23.3567, 0.1062,  0, 0, 0
L 149.8281, -23.3567, 0.1062,  133.7607, -7.3558, 0.1062,  0, 0, 0
L 180.8560, 23.3549, 0.1062,  165.2323, 23.3527, 0.1062,  0, 0, 0
L 133.7607, -7.3558, 0.1062,  100.8510, -7.3536, 0.1062,  0, 0, 0
L 100.8510, -7.3536, 0.1062,  100.8554, -24.3560, 0.1062,  0, 0, 0
