P -1378.9844, 651.4464, -72.6004,  0, 0, 0,  1,  Decayed_Remains
P -644.5000, -2045.0000, -1186.0000,  0, 0, 240,  2,  Floor_N
P -644.5000, -2080.0000, -1094.0000,  0, 0, 0,  2,  To_D
P -595.0000, -2045.0000, -1094.0000,  150, 0, 150,  2,  To_N
P -695.0000, -2045.0000, -1094.0000,  0, 0, 0,  2,  To_J
P -644.5000, -2010.0000, -1094.0000,  0, 0, 0,  2,  To_E
P -644.5000, -2045.0000, -1094.0000,  0, 0, 240,  2,  Floor_M
P -644.5000, -2080.0000, -1003.0000,  150, 0, 150,  2,  To_M
P -595.0000, -2045.0000, -1003.0000,  0, 0, 0,  2,  To_I
P -695.0000, -2045.0000, -1003.0000,  0, 0, 0,  2,  To_G
P -644.5000, -2010.0000, -1003.0000,  0, 0, 0,  2,  To_I
P -644.5000, -2045.0000, -1003.0000,  0, 0, 240,  2,  Floor_L
P -644.5000, -2080.0000, -912.0000,  0, 0, 0,  2,  To_J
P -595.0000, -2045.0000, -912.0000,  150, 0, 150,  2,  To_L
P -695.0000, -2045.0000, -912.0000,  0, 0, 0,  2,  To_J
P -644.5000, -2010.0000, -912.0000,  0, 0, 0,  2,  To_G
P -644.5000, -2045.0000, -912.0000,  0, 0, 240,  2,  Floor_K
P -644.5000, -2080.0000, -820.0000,  0, 0, 0,  2,  To_C
P -595.0000, -2045.0000, -820.0000,  150, 0, 150,  2,  To_K
P -695.0000, -2045.0000, -820.0000,  0, 0, 0,  2,  To_E
P -644.5000, -2010.0000, -820.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2045.0000, -820.0000,  0, 0, 240,  2,  Floor_J
P -644.5000, -2080.0000, -728.0000,  0, 0, 0,  2,  To_B
P -595.0000, -2045.0000, -728.0000,  0, 0, 0,  2,  To_F
P -695.0000, -2045.0000, -728.0000,  150, 0, 150,  2,  To_J
P -644.5000, -2010.0000, -728.0000,  0, 0, 0,  2,  To_B
P -644.5000, -2045.0000, -728.0000,  0, 0, 240,  2,  Floor_I
P -644.5000, -2080.0000, -637.0000,  0, 0, 0,  2,  To_G
P -595.0000, -2045.0000, -637.0000,  150, 0, 150,  2,  To_I
P -695.0000, -2045.0000, -637.0000,  0, 0, 0,  2,  To_F
P -644.5000, -2010.0000, -637.0000,  0, 0, 0,  2,  To_D
P -644.5000, -2045.0000, -637.0000,  0, 0, 240,  2,  Floor_H
P -644.5000, -2080.0000, -546.0000,  0, 0, 0,  2,  To_C
P -595.0000, -2045.0000, -546.0000,  0, 0, 0,  2,  To_E
P -695.0000, -2045.0000, -546.0000,  0, 0, 0,  2,  To_C
P -644.5000, -2010.0000, -546.0000,  150, 0, 150,  2,  To_H
P -644.5000, -2045.0000, -546.0000,  0, 0, 240,  2,  Floor_G
P -644.5000, -2080.0000, -455.0000,  150, 0, 150,  2,  To_G
P -595.0000, -2045.0000, -455.0000,  0, 0, 0,  2,  To_A
P -695.0000, -2045.0000, -455.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2010.0000, -455.0000,  0, 0, 0,  2,  To_C
P -644.5000, -2045.0000, -455.0000,  0, 0, 240,  2,  Floor_F
P -644.5000, -2080.0000, -364.0000,  150, 0, 150,  2,  To_F
P -595.0000, -2045.0000, -364.0000,  0, 0, 0,  2,  To_D
P -695.0000, -2045.0000, -364.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2010.0000, -364.0000,  0, 0, 0,  2,  To_D
P -644.5000, -2045.0000, -364.0000,  0, 0, 240,  2,  Floor_E
P -644.5000, -2080.0000, -273.0000,  0, 0, 0,  2,  To_B
P -595.0000, -2045.0000, -273.0000,  150, 0, 150,  2,  To_E
P -695.0000, -2045.0000, -273.0000,  0, 0, 0,  2,  To_C
P -644.5000, -2010.0000, -273.0000,  0, 0, 0,  2,  To_A
P -644.5000, -2045.0000, -273.0000,  0, 0, 240,  2,  Floor_D
P -644.5000, -2080.0000, -182.0000,  0, 0, 0,  2,  To_C
P -595.0000, -2045.0000, -182.0000,  0, 0, 0,  2,  To_C
P -695.0000, -2045.0000, -182.0000,  150, 0, 150,  2,  To_D
P -644.5000, -2010.0000, -182.0000,  0, 0, 0,  2,  To_C
P -644.5000, -2045.0000, -182.0000,  0, 0, 240,  2,  Floor_C
